1. Samochd: Acura CL, sprzedano: 1 szt., gdzie średnia cena to: 82961.35 Euro.
50. Samochd: Buick Century, sprzedano: 2 szt., gdzie średnia cena to: 15429.60 Euro.
51. Samochd: Buick Coachbuilder, sprzedano: 2 szt., gdzie średnia cena to: 77371.88 Euro.
52. Samochd: Buick Estate, sprzedano: 1 szt., gdzie średnia cena to: 81302.51 Euro.
53. Samochd: Buick LaCrosse, sprzedano: 2 szt., gdzie średnia cena to: 72117.76 Euro.
54. Samochd: Buick LeSabre, sprzedano: 2 szt., gdzie średnia cena to: 11736.40 Euro.
55. Samochd: Buick Lucerne, sprzedano: 1 szt., gdzie średnia cena to: 2848.09 Euro.
56. Samochd: Buick Park Avenue, sprzedano: 3 szt., gdzie średnia cena to: 47476.94 Euro.
57. Samochd: Buick Rainier, sprzedano: 1 szt., gdzie średnia cena to: 80773.22 Euro.
58. Samochd: Buick Regal, sprzedano: 2 szt., gdzie średnia cena to: 68515.25 Euro.
59. Samochd: Buick Rendezvous, sprzedano: 2 szt., gdzie średnia cena to: 60979.48 Euro.
60. Samochd: Buick Riviera, sprzedano: 2 szt., gdzie średnia cena to: 44679.36 Euro.
61. Samochd: Buick Roadmaster, sprzedano: 3 szt., gdzie średnia cena to: 51315.28 Euro.
62. Samochd: Buick Skyhawk, sprzedano: 1 szt., gdzie średnia cena to: 13632.45 Euro.
63. Samochd: Buick Skylark, sprzedano: 1 szt., gdzie średnia cena to: 96346.01 Euro.
64. Samochd: Cadillac CTS, sprzedano: 2 szt., gdzie średnia cena to: 55005.05 Euro.
65. Samochd: Cadillac CTS-V, sprzedano: 2 szt., gdzie średnia cena to: 32070.04 Euro.
66. Samochd: Cadillac DeVille, sprzedano: 2 szt., gdzie średnia cena to: 36474.73 Euro.
67. Samochd: Cadillac Eldorado, sprzedano: 2 szt., gdzie średnia cena to: 35842.00 Euro.
68. Samochd: Cadillac Escalade, sprzedano: 2 szt., gdzie średnia cena to: 38625.55 Euro.
69. Samochd: Cadillac Escalade ESV, sprzedano: 2 szt., gdzie średnia cena to: 47640.03 Euro.
70. Samochd: Cadillac Escalade EXT, sprzedano: 3 szt., gdzie średnia cena to: 61311.69 Euro.
71. Samochd: Cadillac Fleetwood, sprzedano: 1 szt., gdzie średnia cena to: 97896.49 Euro.
72. Samochd: Cadillac SRX, sprzedano: 2 szt., gdzie średnia cena to: 42435.24 Euro.
73. Samochd: Cadillac Seville, sprzedano: 3 szt., gdzie średnia cena to: 34221.72 Euro.
74. Samochd: Chevrolet 1500, sprzedano: 2 szt., gdzie średnia cena to: 55351.94 Euro.
75. Samochd: Chevrolet 2500, sprzedano: 2 szt., gdzie średnia cena to: 36915.59 Euro.
76. Samochd: Chevrolet 3500, sprzedano: 1 szt., gdzie średnia cena to: 80037.02 Euro.
77. Samochd: Chevrolet Avalanche 1500, sprzedano: 2 szt., gdzie średnia cena to: 49791.30 Euro.
78. Samochd: Chevrolet Aveo, sprzedano: 1 szt., gdzie średnia cena to: 54181.97 Euro.
79. Samochd: Chevrolet Camaro, sprzedano: 1 szt., gdzie średnia cena to: 69624.54 Euro.
80. Samochd: Chevrolet Caprice, sprzedano: 2 szt., gdzie średnia cena to: 13506.45 Euro.
81. Samochd: Chevrolet Caprice Classic, sprzedano: 1 szt., gdzie średnia cena to: 73905.56 Euro.
82. Samochd: Chevrolet Cavalier, sprzedano: 3 szt., gdzie średnia cena to: 51423.39 Euro.
83. Samochd: Chevrolet Cobalt, sprzedano: 1 szt., gdzie średnia cena to: 67487.58 Euro.
84. Samochd: Chevrolet Cobalt SS, sprzedano: 1 szt., gdzie średnia cena to: 68941.55 Euro.
85. Samochd: Chevrolet Colorado, sprzedano: 2 szt., gdzie średnia cena to: 34649.48 Euro.
86. Samochd: Chevrolet Corvette, sprzedano: 7 szt., gdzie średnia cena to: 31658.70 Euro.
87. Samochd: Chevrolet Equinox, sprzedano: 1 szt., gdzie średnia cena to: 52849.21 Euro.
88. Samochd: Chevrolet Express, sprzedano: 1 szt., gdzie średnia cena to: 74983.39 Euro.
89. Samochd: Chevrolet Express 1500, sprzedano: 2 szt., gdzie średnia cena to: 20331.56 Euro.
90. Samochd: Chevrolet Express 2500, sprzedano: 2 szt., gdzie średnia cena to: 41362.38 Euro.
91. Samochd: Chevrolet Express 3500, sprzedano: 4 szt., gdzie średnia cena to: 57712.50 Euro.
92. Samochd: Chevrolet G-Series G10, sprzedano: 2 szt., gdzie średnia cena to: 81369.28 Euro.
93. Samochd: Chevrolet G-Series G20, sprzedano: 3 szt., gdzie średnia cena to: 55204.46 Euro.
94. Samochd: Chevrolet HHR, sprzedano: 3 szt., gdzie średnia cena to: 31663.47 Euro.
95. Samochd: Chevrolet Impala, sprzedano: 2 szt., gdzie średnia cena to: 42254.03 Euro.
96. Samochd: Chevrolet Lumina, sprzedano: 2 szt., gdzie średnia cena to: 40238.98 Euro.
97. Samochd: Chevrolet Malibu, sprzedano: 2 szt., gdzie średnia cena to: 44671.39 Euro.
98. Samochd: Chevrolet Metro, sprzedano: 2 szt., gdzie średnia cena to: 85396.15 Euro.
99. Samochd: Chevrolet Monte Carlo, sprzedano: 1 szt., gdzie średnia cena to: 66959.46 Euro.
100. Samochd: Chevrolet S10, sprzedano: 1 szt., gdzie średnia cena to: 72424.96 Euro.
101. Samochd: Chevrolet SSR, sprzedano: 1 szt., gdzie średnia cena to: 47507.31 Euro.
102. Samochd: Chevrolet Silverado 2500, sprzedano: 4 szt., gdzie średnia cena to: 66028.31 Euro.
103. Samochd: Chevrolet Silverado 3500, sprzedano: 1 szt., gdzie średnia cena to: 40912.28 Euro.
104. Samochd: Chevrolet Sportvan G20, sprzedano: 1 szt., gdzie średnia cena to: 46420.20 Euro.
105. Samochd: Chevrolet Sportvan G30, sprzedano: 3 szt., gdzie średnia cena to: 69505.22 Euro.
106. Samochd: Chevrolet Suburban 1500, sprzedano: 1 szt., gdzie średnia cena to: 65723.19 Euro.
107. Samochd: Chevrolet Suburban 2500, sprzedano: 4 szt., gdzie średnia cena to: 52548.65 Euro.
108. Samochd: Chevrolet Tahoe, sprzedano: 1 szt., gdzie średnia cena to: 48509.46 Euro.
109. Samochd: Chevrolet Tracker, sprzedano: 1 szt., gdzie średnia cena to: 72207.02 Euro.
110. Samochd: Chevrolet TrailBlazer, sprzedano: 2 szt., gdzie średnia cena to: 44096.10 Euro.
111. Samochd: Chevrolet Venture, sprzedano: 1 szt., gdzie średnia cena to: 61806.78 Euro.
112. Samochd: Chrysler 300, sprzedano: 1 szt., gdzie średnia cena to: 91386.40 Euro.
113. Samochd: Chrysler 300M, sprzedano: 2 szt., gdzie średnia cena to: 50595.13 Euro.
114. Samochd: Chrysler Aspen, sprzedano: 1 szt., gdzie średnia cena to: 43763.08 Euro.
115. Samochd: Chrysler Cirrus, sprzedano: 1 szt., gdzie średnia cena to: 52197.41 Euro.
116. Samochd: Chrysler Concorde, sprzedano: 5 szt., gdzie średnia cena to: 35155.30 Euro.
117. Samochd: Chrysler New Yorker, sprzedano: 1 szt., gdzie średnia cena to: 639.91 Euro.
118. Samochd: Chrysler PT Cruiser, sprzedano: 3 szt., gdzie średnia cena to: 62201.01 Euro.
119. Samochd: Chrysler Sebring, sprzedano: 2 szt., gdzie średnia cena to: 91316.41 Euro.
120. Samochd: Chrysler Town & Country, sprzedano: 2 szt., gdzie średnia cena to: 49787.57 Euro.
121. Samochd: Chrysler Voyager, sprzedano: 1 szt., gdzie średnia cena to: 22886.89 Euro.
122. Samochd: Citroën 2CV, sprzedano: 1 szt., gdzie średnia cena to: 21373.33 Euro.
123. Samochd: Corbin Sparrow, sprzedano: 1 szt., gdzie średnia cena to: 73545.83 Euro.
124. Samochd: Daewoo Leganza, sprzedano: 1 szt., gdzie średnia cena to: 94984.18 Euro.
125. Samochd: Dodge Avenger, sprzedano: 2 szt., gdzie średnia cena to: 50970.71 Euro.
126. Samochd: Dodge Caravan, sprzedano: 3 szt., gdzie średnia cena to: 36938.07 Euro.
127. Samochd: Dodge Charger, sprzedano: 3 szt., gdzie średnia cena to: 76910.88 Euro.
128. Samochd: Dodge D150 Club, sprzedano: 1 szt., gdzie średnia cena to: 45687.25 Euro.
129. Samochd: Dodge Dakota, sprzedano: 4 szt., gdzie średnia cena to: 81294.16 Euro.
130. Samochd: Dodge Dakota Club, sprzedano: 3 szt., gdzie średnia cena to: 13560.29 Euro.
131. Samochd: Dodge Daytona, sprzedano: 1 szt., gdzie średnia cena to: 65849.56 Euro.
132. Samochd: Dodge Durango, sprzedano: 1 szt., gdzie średnia cena to: 45584.85 Euro.
133. Samochd: Dodge Grand Caravan, sprzedano: 6 szt., gdzie średnia cena to: 38336.78 Euro.
134. Samochd: Dodge Magnum, sprzedano: 1 szt., gdzie średnia cena to: 64382.28 Euro.
135. Samochd: Dodge Neon, sprzedano: 2 szt., gdzie średnia cena to: 51312.46 Euro.
136. Samochd: Dodge Ram 1500, sprzedano: 2 szt., gdzie średnia cena to: 97824.94 Euro.
137. Samochd: Dodge Ram 2500, sprzedano: 1 szt., gdzie średnia cena to: 60999.32 Euro.
138. Samochd: Dodge Ram 2500 Club, sprzedano: 2 szt., gdzie średnia cena to: 44568.78 Euro.
139. Samochd: Dodge Ram 3500 Club, sprzedano: 1 szt., gdzie średnia cena to: 51816.43 Euro.
140. Samochd: Dodge Ram Van 1500, sprzedano: 3 szt., gdzie średnia cena to: 23748.60 Euro.
141. Samochd: Dodge Ram Van 2500, sprzedano: 2 szt., gdzie średnia cena to: 75736.61 Euro.
142. Samochd: Dodge Ram Van B150, sprzedano: 1 szt., gdzie średnia cena to: 94292.51 Euro.
143. Samochd: Dodge Ram Van B250, sprzedano: 1 szt., gdzie średnia cena to: 23476.59 Euro.
144. Samochd: Dodge Ram Van B350, sprzedano: 2 szt., gdzie średnia cena to: 67422.63 Euro.
145. Samochd: Dodge Ram Wagon B250, sprzedano: 2 szt., gdzie średnia cena to: 40716.78 Euro.
146. Samochd: Dodge Ram Wagon B350, sprzedano: 1 szt., gdzie średnia cena to: 81464.86 Euro.
147. Samochd: Dodge Spirit, sprzedano: 1 szt., gdzie średnia cena to: 62428.34 Euro.
148. Samochd: Dodge Stratus, sprzedano: 4 szt., gdzie średnia cena to: 52345.73 Euro.
149. Samochd: Dodge Viper, sprzedano: 1 szt., gdzie średnia cena to: 41325.74 Euro.
150. Samochd: Dodge Viper RT/10, sprzedano: 1 szt., gdzie średnia cena to: 42522.73 Euro.
151. Samochd: Eagle Talon, sprzedano: 1 szt., gdzie średnia cena to: 15778.36 Euro.
152. Samochd: Eagle Vision, sprzedano: 3 szt., gdzie średnia cena to: 70650.33 Euro.
153. Samochd: Fiat Nuova 500, sprzedano: 1 szt., gdzie średnia cena to: 66508.75 Euro.
154. Samochd: Ford Aerostar, sprzedano: 4 szt., gdzie średnia cena to: 66587.07 Euro.
155. Samochd: Ford Bronco, sprzedano: 2 szt., gdzie średnia cena to: 38713.68 Euro.
156. Samochd: Ford Contour, sprzedano: 1 szt., gdzie średnia cena to: 48603.83 Euro.
157. Samochd: Ford Crown Victoria, sprzedano: 4 szt., gdzie średnia cena to: 68736.15 Euro.
158. Samochd: Ford E-Series, sprzedano: 3 szt., gdzie średnia cena to: 24541.08 Euro.
159. Samochd: Ford E150, sprzedano: 3 szt., gdzie średnia cena to: 70611.65 Euro.
160. Samochd: Ford E250, sprzedano: 1 szt., gdzie średnia cena to: 98725.52 Euro.
161. Samochd: Ford Econoline E150, sprzedano: 2 szt., gdzie średnia cena to: 32563.81 Euro.
162. Samochd: Ford Econoline E250, sprzedano: 2 szt., gdzie średnia cena to: 33190.68 Euro.
163. Samochd: Ford Econoline E350, sprzedano: 2 szt., gdzie średnia cena to: 47165.28 Euro.
164. Samochd: Ford Edge, sprzedano: 1 szt., gdzie średnia cena to: 23688.13 Euro.
165. Samochd: Ford Escape, sprzedano: 5 szt., gdzie średnia cena to: 52400.51 Euro.
166. Samochd: Ford Escort, sprzedano: 1 szt., gdzie średnia cena to: 34041.27 Euro.
167. Samochd: Ford Excursion, sprzedano: 1 szt., gdzie średnia cena to: 73354.65 Euro.
168. Samochd: Ford Expedition, sprzedano: 2 szt., gdzie średnia cena to: 75097.49 Euro.
169. Samochd: Ford Explorer, sprzedano: 2 szt., gdzie średnia cena to: 58328.32 Euro.
170. Samochd: Ford F-Series, sprzedano: 4 szt., gdzie średnia cena to: 58577.24 Euro.
171. Samochd: Ford F-Series Super Duty, sprzedano: 2 szt., gdzie średnia cena to: 38252.92 Euro.
172. Samochd: Ford F150, sprzedano: 2 szt., gdzie średnia cena to: 18794.04 Euro.
173. Samochd: Ford F250, sprzedano: 4 szt., gdzie średnia cena to: 65510.32 Euro.
174. Samochd: Ford F350, sprzedano: 4 szt., gdzie średnia cena to: 50059.01 Euro.
175. Samochd: Ford F450, sprzedano: 1 szt., gdzie średnia cena to: 66244.66 Euro.
176. Samochd: Ford Festiva, sprzedano: 1 szt., gdzie średnia cena to: 12769.30 Euro.
177. Samochd: Ford Five Hundred, sprzedano: 1 szt., gdzie średnia cena to: 63582.71 Euro.
178. Samochd: Ford Freestar, sprzedano: 1 szt., gdzie średnia cena to: 74898.80 Euro.
179. Samochd: Ford Freestyle, sprzedano: 1 szt., gdzie średnia cena to: 85917.70 Euro.
180. Samochd: Ford Fusion, sprzedano: 1 szt., gdzie średnia cena to: 84373.36 Euro.
181. Samochd: Ford Galaxie, sprzedano: 1 szt., gdzie średnia cena to: 64097.32 Euro.
182. Samochd: Ford Laser, sprzedano: 2 szt., gdzie średnia cena to: 72397.17 Euro.
183. Samochd: Ford Mustang, sprzedano: 9 szt., gdzie średnia cena to: 50359.98 Euro.
184. Samochd: Ford Probe, sprzedano: 2 szt., gdzie średnia cena to: 72607.29 Euro.
185. Samochd: Ford Ranger, sprzedano: 2 szt., gdzie średnia cena to: 76490.49 Euro.
186. Samochd: Ford Taurus, sprzedano: 5 szt., gdzie średnia cena to: 37937.50 Euro.
187. Samochd: Ford Tempo, sprzedano: 4 szt., gdzie średnia cena to: 27841.50 Euro.
188. Samochd: Ford Th!nk, sprzedano: 1 szt., gdzie średnia cena to: 82727.44 Euro.
189. Samochd: Ford Thunderbird, sprzedano: 9 szt., gdzie średnia cena to: 44446.88 Euro.
190. Samochd: Ford Transit Connect, sprzedano: 1 szt., gdzie średnia cena to: 99772.91 Euro.
191. Samochd: Ford Windstar, sprzedano: 2 szt., gdzie średnia cena to: 43530.32 Euro.
192. Samochd: GMC 1500, sprzedano: 2 szt., gdzie średnia cena to: 33566.67 Euro.
193. Samochd: GMC 2500, sprzedano: 2 szt., gdzie średnia cena to: 30084.86 Euro.
194. Samochd: GMC 2500 Club Coupe, sprzedano: 1 szt., gdzie średnia cena to: 45723.16 Euro.
195. Samochd: GMC Envoy, sprzedano: 1 szt., gdzie średnia cena to: 58388.07 Euro.
196. Samochd: GMC Jimmy, sprzedano: 2 szt., gdzie średnia cena to: 55800.43 Euro.
197. Samochd: GMC Rally Wagon 3500, sprzedano: 1 szt., gdzie średnia cena to: 12368.59 Euro.
198. Samochd: GMC Rally Wagon G3500, sprzedano: 1 szt., gdzie średnia cena to: 35595.63 Euro.
199. Samochd: GMC Safari, sprzedano: 2 szt., gdzie średnia cena to: 56426.99 Euro.
200. Samochd: GMC Savana, sprzedano: 1 szt., gdzie średnia cena to: 31054.78 Euro.
201. Samochd: GMC Savana 1500, sprzedano: 1 szt., gdzie średnia cena to: 40340.91 Euro.
202. Samochd: GMC Savana 2500, sprzedano: 3 szt., gdzie średnia cena to: 78570.98 Euro.
203. Samochd: GMC Savana 3500, sprzedano: 2 szt., gdzie średnia cena to: 48813.54 Euro.
204. Samochd: GMC Sierra, sprzedano: 1 szt., gdzie średnia cena to: 51743.05 Euro.
205. Samochd: GMC Sierra 1500, sprzedano: 1 szt., gdzie średnia cena to: 56821.35 Euro.
206. Samochd: GMC Sierra 2500HD, sprzedano: 1 szt., gdzie średnia cena to: 40112.71 Euro.
207. Samochd: GMC Sierra 3500, sprzedano: 1 szt., gdzie średnia cena to: 53506.27 Euro.
208. Samochd: GMC Sierra 3500HD, sprzedano: 2 szt., gdzie średnia cena to: 50305.11 Euro.
209. Samochd: GMC Sierra Denali, sprzedano: 1 szt., gdzie średnia cena to: 98958.47 Euro.
210. Samochd: GMC Suburban 1500, sprzedano: 2 szt., gdzie średnia cena to: 44515.49 Euro.
211. Samochd: GMC Suburban 2500, sprzedano: 1 szt., gdzie średnia cena to: 84627.60 Euro.
212. Samochd: GMC Yukon, sprzedano: 3 szt., gdzie średnia cena to: 50813.30 Euro.
213. Samochd: GMC Yukon XL, sprzedano: 1 szt., gdzie średnia cena to: 11181.27 Euro.
214. Samochd: GMC Yukon XL 1500, sprzedano: 1 szt., gdzie średnia cena to: 55144.44 Euro.
215. Samochd: GMC Yukon XL 2500, sprzedano: 1 szt., gdzie średnia cena to: 69035.73 Euro.
216. Samochd: Geo Metro, sprzedano: 2 szt., gdzie średnia cena to: 38388.19 Euro.
217. Samochd: Honda Accord, sprzedano: 3 szt., gdzie średnia cena to: 70393.65 Euro.
218. Samochd: Honda CR-V, sprzedano: 5 szt., gdzie średnia cena to: 47764.77 Euro.
219. Samochd: Honda CR-X, sprzedano: 1 szt., gdzie średnia cena to: 30531.61 Euro.
220. Samochd: Honda CR-Z, sprzedano: 2 szt., gdzie średnia cena to: 29907.54 Euro.
221. Samochd: Honda Civic, sprzedano: 5 szt., gdzie średnia cena to: 60579.80 Euro.
222. Samochd: Honda Element, sprzedano: 1 szt., gdzie średnia cena to: 76710.10 Euro.
223. Samochd: Honda Fit, sprzedano: 2 szt., gdzie średnia cena to: 51534.78 Euro.
224. Samochd: Honda Insight, sprzedano: 1 szt., gdzie średnia cena to: 62828.48 Euro.
225. Samochd: Honda Odyssey, sprzedano: 3 szt., gdzie średnia cena to: 62767.96 Euro.
226. Samochd: Honda Passport, sprzedano: 1 szt., gdzie średnia cena to: 68602.70 Euro.
227. Samochd: Honda Pilot, sprzedano: 2 szt., gdzie średnia cena to: 40414.07 Euro.
228. Samochd: Honda Prelude, sprzedano: 1 szt., gdzie średnia cena to: 99807.80 Euro.
229. Samochd: Honda Ridgeline, sprzedano: 1 szt., gdzie średnia cena to: 56635.51 Euro.
230. Samochd: Honda S2000, sprzedano: 1 szt., gdzie średnia cena to: 87946.88 Euro.
231. Samochd: Honda del Sol, sprzedano: 1 szt., gdzie średnia cena to: 38137.21 Euro.
232. Samochd: Hummer H1, sprzedano: 2 szt., gdzie średnia cena to: 50614.51 Euro.
233. Samochd: Hummer H2, sprzedano: 1 szt., gdzie średnia cena to: 29204.91 Euro.
234. Samochd: Hummer H3, sprzedano: 1 szt., gdzie średnia cena to: 13377.50 Euro.
235. Samochd: Hyundai Accent, sprzedano: 3 szt., gdzie średnia cena to: 24414.07 Euro.
236. Samochd: Hyundai Azera, sprzedano: 3 szt., gdzie średnia cena to: 15995.83 Euro.
237. Samochd: Hyundai Elantra, sprzedano: 2 szt., gdzie średnia cena to: 50235.75 Euro.
238. Samochd: Hyundai Genesis, sprzedano: 1 szt., gdzie średnia cena to: 1489.55 Euro.
239. Samochd: Hyundai Genesis Coupe, sprzedano: 1 szt., gdzie średnia cena to: 16713.20 Euro.
240. Samochd: Hyundai Santa Fe, sprzedano: 1 szt., gdzie średnia cena to: 38452.21 Euro.
241. Samochd: Hyundai Scoupe, sprzedano: 1 szt., gdzie średnia cena to: 66626.90 Euro.
242. Samochd: Hyundai Sonata, sprzedano: 5 szt., gdzie średnia cena to: 52611.10 Euro.
243. Samochd: Hyundai Tiburon, sprzedano: 1 szt., gdzie średnia cena to: 64358.19 Euro.
244. Samochd: Hyundai Tucson, sprzedano: 1 szt., gdzie średnia cena to: 96352.61 Euro.
245. Samochd: Hyundai Veracruz, sprzedano: 2 szt., gdzie średnia cena to: 43679.31 Euro.
246. Samochd: Infiniti EX, sprzedano: 1 szt., gdzie średnia cena to: 1044.88 Euro.
247. Samochd: Infiniti FX, sprzedano: 3 szt., gdzie średnia cena to: 30829.72 Euro.
248. Samochd: Infiniti G, sprzedano: 2 szt., gdzie średnia cena to: 53640.04 Euro.
249. Samochd: Infiniti G35, sprzedano: 1 szt., gdzie średnia cena to: 70158.45 Euro.
250. Samochd: Infiniti G37, sprzedano: 1 szt., gdzie średnia cena to: 91197.03 Euro.
251. Samochd: Infiniti I, sprzedano: 1 szt., gdzie średnia cena to: 23254.85 Euro.
252. Samochd: Infiniti J, sprzedano: 1 szt., gdzie średnia cena to: 28641.01 Euro.
253. Samochd: Infiniti M, sprzedano: 2 szt., gdzie średnia cena to: 49684.48 Euro.
254. Samochd: Infiniti Q, sprzedano: 1 szt., gdzie średnia cena to: 22305.50 Euro.
255. Samochd: Infiniti QX, sprzedano: 1 szt., gdzie średnia cena to: 94251.36 Euro.
256. Samochd: Isuzu Amigo, sprzedano: 1 szt., gdzie średnia cena to: 36303.51 Euro.
257. Samochd: Isuzu Ascender, sprzedano: 1 szt., gdzie średnia cena to: 3700.19 Euro.
258. Samochd: Isuzu Hombre Space, sprzedano: 1 szt., gdzie średnia cena to: 14300.87 Euro.
259. Samochd: Isuzu Rodeo, sprzedano: 3 szt., gdzie średnia cena to: 57503.35 Euro.
260. Samochd: Isuzu Rodeo Sport, sprzedano: 1 szt., gdzie średnia cena to: 59634.95 Euro.
261. Samochd: Isuzu Stylus, sprzedano: 1 szt., gdzie średnia cena to: 3457.00 Euro.
262. Samochd: Isuzu Trooper, sprzedano: 3 szt., gdzie średnia cena to: 52786.98 Euro.
263. Samochd: Isuzu i-370, sprzedano: 1 szt., gdzie średnia cena to: 18055.25 Euro.
264. Samochd: Jaguar S-Type, sprzedano: 2 szt., gdzie średnia cena to: 52177.16 Euro.
265. Samochd: Jaguar XJ Series, sprzedano: 4 szt., gdzie średnia cena to: 23694.81 Euro.
266. Samochd: Jaguar XK, sprzedano: 1 szt., gdzie średnia cena to: 18787.12 Euro.
267. Samochd: Jaguar XK Series, sprzedano: 2 szt., gdzie średnia cena to: 62836.96 Euro.
268. Samochd: Jeep Cherokee, sprzedano: 1 szt., gdzie średnia cena to: 3765.12 Euro.
269. Samochd: Jeep Compass, sprzedano: 1 szt., gdzie średnia cena to: 92254.93 Euro.
270. Samochd: Jeep Grand Cherokee, sprzedano: 1 szt., gdzie średnia cena to: 825.37 Euro.
271. Samochd: Jeep Liberty, sprzedano: 2 szt., gdzie średnia cena to: 53602.37 Euro.
272. Samochd: Jeep Wrangler, sprzedano: 1 szt., gdzie średnia cena to: 61759.51 Euro.
273. Samochd: Kia Optima, sprzedano: 1 szt., gdzie średnia cena to: 36354.28 Euro.
274. Samochd: Kia Rio, sprzedano: 2 szt., gdzie średnia cena to: 56535.40 Euro.
275. Samochd: Kia Sedona, sprzedano: 2 szt., gdzie średnia cena to: 65796.00 Euro.
276. Samochd: Kia Soul, sprzedano: 1 szt., gdzie średnia cena to: 30479.21 Euro.
